,M0_raw_spread_h3,M0_raw_spread_h6,M0_raw_spread_h12,M1_slope_h3,M1_slope_h6,M1_slope_h12,M2_slope_curv_h3,M2_slope_curv_h6,M2_slope_curv_h12,M3_full_ns_h3,M3_full_ns_h6,M3_full_ns_h12,M4_db1_b2_b3_h3,M4_db1_b2_b3_h6,M4_db1_b2_b3_h12
1979-01-01,0.9451870403149271,0.9999949698902596,0.746942034152983,0.9473625242506379,0.9999997753780273,0.7618172755734801,0.9481389541384891,0.9999999970781294,0.7715080753300594,0.9352182317708339,0.9999999928603425,6.651723875502704e-08,0.9602531480867335,0.9999999998071196,0.7400697989845274
1979-02-01,0.8975889543248077,0.9999823102147045,0.7401420954313143,0.8984967303923149,0.9999985388699745,0.7522741201662222,0.8976758476660311,0.9999999356651653,0.7239368910930252,0.8454899846848027,0.9999968860907754,7.054174087057639e-16,0.8912829299325643,0.9999999996900002,0.7302225999764755
1979-03-01,0.8060552251331359,0.9996096407058057,0.7032638459141859,0.8086029993076529,0.9998988898435308,0.7158272977083495,0.8094401166026135,0.9999711348787682,0.6952413439767574,0.7080344732661833,0.9990839388095113,2.554728692552075e-16,0.8370061285870207,0.9999760432220016,0.6494835237264149
1979-04-01,0.7433832121439546,0.9725522070454359,0.6804631645589321,0.7453803334271122,0.977731349085068,0.6925309543504026,0.7456610335618017,0.9796344687835923,0.6667691031698801,0.5806726302752776,0.8466428172725511,3.2944507658152313e-24,0.7269888835479479,0.9863034629543452,0.6833696257802895
1979-05-01,0.6471163830831426,0.8508461159243692,0.6182896477992078,0.6533735699245447,0.8633575241642292,0.6339322682568074,0.6612008268745037,0.8835201360874207,0.6660279478357711,0.49667618152609655,0.5934548019280073,4.3273490979092456e-18,0.7071552110341454,0.8427095211631948,0.6018524920349515
1979-06-01,0.49875180953278325,0.5900255689809079,0.48795123696067544,0.5058013412712353,0.6045098302624915,0.5021055316424312,0.5162580479150529,0.6585277506120764,0.5563683288265703,0.3562454606641442,0.2823888436991462,6.051118621692741e-18,0.5807725048326817,0.5365303846673456,0.4578025965635635
1979-07-01,0.540559016692169,0.6321043605922997,0.5503031745355712,0.545114866712654,0.6419865659917046,0.563562920016599,0.5510806223108211,0.6673119645309628,0.579893683210468,0.35497425741158345,0.23670326064302694,3.48712026181179e-21,0.5424821383441979,0.6851307457484903,0.5815378633889146
1979-08-01,0.6897528526250475,0.7988178026367486,0.723656317064419,0.6892595172653624,0.8028616667976192,0.734250903010085,0.6860312632184442,0.7819416411540417,0.6703681028841012,0.4940036664758987,0.4058469000269852,2.1602181429686788e-18,0.6971345338192976,0.7615365211264689,0.6414521598573597
1979-09-01,0.7355060480423985,0.8287840423897815,0.7728042153352943,0.7368644054810982,0.8348941238432814,0.785571584805588,0.736701374314729,0.8316918334404503,0.7545778462640911,0.5486629189254949,0.49101925823176884,3.620685255841113e-16,0.7201110906256984,0.8687683082575117,0.774932012959644
1979-10-01,0.9219606278581196,0.973579546877383,0.9359643114950436,0.9170158694397146,0.9728847539315976,0.938997177901584,0.90923703698263,0.9326192889892665,0.7835639798776428,0.6194095683455155,0.39002843347317506,6.597126271407489e-46,0.8633269351355243,0.983477051119918,0.8850858299495312
