date,b1,b2,b3,rmse,n_obs,lam
1972-03-01,5.924899560919321,1.4718140102401978,2.691392531657593,0.03139745876934122,6,0.4
1972-04-01,6.030883669319873,2.257395456116292,2.9292849453763896,0.022358829814275834,6,0.4
1972-05-01,5.898680915813082,2.0526664471350857,2.7468948012339185,0.02757950993995693,6,0.4
1972-06-01,5.942541518164882,1.3982879848161194,2.3432151599797413,0.017922152027648932,6,0.4
1972-07-01,5.769145351555477,1.7763127464762258,3.4344743291273687,0.02727730220335242,6,0.4
1972-08-01,5.816774494078025,1.1533903180908123,3.2497596816246146,0.08270973018458098,6,0.4
1972-09-01,6.060385239143415,1.0036552183348944,2.202402902421432,0.11543683402474406,6,0.4
1972-10-01,5.728281655788021,1.0053849714863605,3.3412900878737286,0.08751212086450727,6,0.4
1972-11-01,5.599597324146145,0.946020433103545,3.31997220629787,0.07684979721244477,6,0.4
1972-12-01,5.87419962007175,0.7232068270551254,2.5067866217599764,0.06918199402161097,6,0.4
1973-01-01,6.946014331311562,0.8897593817095352,-0.44313455176898103,0.08688617198817113,6,0.4
1973-02-01,6.840924146806612,0.47738417768887015,0.2129344681072738,0.08828798609996759,6,0.4
1973-03-01,6.944800791256424,-0.4023086523890615,-1.1208700475820013,0.032338801565471184,6,0.4
1973-04-01,6.9473198134708785,0.01669228354086405,-0.693070907307593,0.05041185502563988,6,0.4
1973-05-01,7.2801979962209415,-0.1913074838827501,-1.8684267088683877,0.022942899892745103,6,0.4
1973-06-01,7.405298410782837,-0.9687195389444851,-3.0896482334699336,0.02128608764179502,6,0.4
1973-07-01,7.640045121468359,-1.9365912412896074,-2.4281161446703705,0.08008442456443532,6,0.4
1973-08-01,7.6521041175781805,-1.6464598438144935,-3.7341462072801077,0.05377484808732662,6,0.4
1973-09-01,7.4382911899694575,-0.6585452327626548,-3.353689434263168,0.05544239420510846,6,0.4
1973-10-01,7.568437588809776,-0.15961997215043167,-3.0527950762123206,0.0981942229444967,6,0.4
1973-11-01,7.507966831623857,-0.3408401219230335,-3.2356045355154244,0.08195912034736219,6,0.4
1973-12-01,7.768532028699169,-0.12718431680204723,-3.6329256979646516,0.05532241420809526,6,0.4
1974-01-01,7.80187385392059,0.3011493037019797,-2.720122604927134,0.0545822516808227,6,0.4
1974-02-01,7.87278397289091,0.32906976798110343,-2.7307325895617214,0.07907047851017518,6,0.4
1974-03-01,8.040850047948377,-0.9675140850861407,-2.9425906776350126,0.09663864988026953,6,0.4
1974-04-01,8.201947933807697,-1.4961216432126099,-2.715642281447366,0.14943701700006398,6,0.4
1974-05-01,8.14559732461954,-1.1873663171691777,-2.5288105465856066,0.16787009661824362,6,0.4
1974-06-01,8.04654953285872,-1.3369712610074085,-1.6501130772650914,0.1813796388650926,6,0.4
1974-07-01,8.208820745436993,-1.2755676554681203,-1.4641357195275326,0.14792330817672275,6,0.4
1974-08-01,8.794887345557054,-1.8358771903333153,-3.8436197244687413,0.14809867132683968,6,0.4
1974-09-01,8.65963837757131,0.0907060399844728,-2.169531351372387,0.1057700791609558,6,0.4
